Product Handle,Product Title,Primary Collection,Also add to
collagen-mixed-berry,Collagen — Mixed Berry,Beauty & Collagen,"Pouch Collection, Sachet Collection"
hydration-electrolytes-lemon-lime,Hydration Electrolytes — Lemon Lime,Hydration,"Pouch Collection, Sachet Collection, Energy & Performance"
hydration-electrolytes-watermelon,Hydration Electrolytes — Watermelon,Hydration,"Pouch Collection, Sachet Collection"
hydration-electrolytes-coconut,Hydration Electrolytes — Coconut,Hydration,"Pouch Collection, Sachet Collection"
greens-pineapple,Greens — Pineapple,Greens & Nutrition,"Pouch Collection, Sachet Collection"
daily-wellness-peach-mango,Daily Wellness — Peach Mango,Daily Wellness,"Pouch Collection, Sachet Collection"
gummies-mixed-berry,Gummies — Mixed Berry,Daily Wellness,"Pouch Collection, Sachet Collection, Beauty & Collagen"
weight-management-pink-lemonade,Weight Management — Pink Lemonade,Weight Management,"Pouch Collection, Sachet Collection"
premium-protein-chocolate,Premium Protein — Chocolate,Protein & Recovery,"Pouch Collection, Sachet Collection, Energy & Performance"
